time_key,open,high,low,close,volume
2024-10-24,890.66,903,890.46,900.03,400637
2024-10-25,904.6,925.27,901.21,901.29,566768
2024-10-28,901.29,911.38,885.92,890.46,631222
2024-10-29,894.9,937.18,891.19,933.23,693083
2024-10-30,912.71,931.65,909.56,919.81,977583
2024-10-31,826.32,829.5,733.8785,759.3,3055268
2024-11-01,766.22,788.73,755.74,759.37,1018146
2024-11-04,758.81,784.76,746.585,766.57,959158
2024-11-05,769.16,775.85,750.95,762.97,626756
2024-11-06,773.97,786.51,762.77,785.29,820536
2024-11-07,793.64,796.58,762.66,775.21,948036
2024-11-08,765.06,781.02,749.845,761.3,822322
2024-11-11,629.3,650.93,572,647.31,4011034
2024-11-12,665,689.77,631.505,644.1,2652222
2024-11-13,633,640.795,599.05,601.47,1607940
2024-11-14,603.05,604.665,572.04,576.79,2087979
2024-11-15,565.57,590.49,561.79,573.38,1622831
2024-11-18,573.4,588.91,561.5807,587.84,1203507
2024-11-19,588,593.91,576.37,585.87,998722
2024-11-20,581.3,587,546.705,560.06,1662794
2024-11-21,570.07,574.01,551.785,572.47,1021937
2024-11-22,566.25,591.6,565.7,580.81,1031892
2024-11-25,592.16,610.83,587.69,600.86,1268151
2024-11-26,598.77,602.3,568.1,572.08,1287366
2024-11-27,575.83,575.83,548.25,560.24,1237978
2024-11-29,568,575.155,563.01,567.64,595268
2024-12-02,567.05,588.94,566.01,580.35,808873
2024-12-03,570.74,585.785,570.74,582.85,609357
2024-12-04,589.15,592.7965,579.99,581.63,698452
2024-12-05,587.33,587.33,566.61,572.32,696553
2024-12-06,578.22,593.31,576,589.68,734466
2024-12-09,591.85,613.305,591,609.67,1015409
2024-12-10,610.88,614.41,591.14,595.32,941742
2024-12-11,613.63,628.765,604.34,623.82,948285
2024-12-12,611.31,623.8,593.1,605.45,862132
2024-12-13,621,625.35,602.07,608.44,897035
2024-12-16,607,637.71,599.8862,628.62,1143023
2024-12-17,622.09,640.065,622.08,628.22,796432
2024-12-18,632,644.81,593.11,598.07,958400
2024-12-19,611.77,612.995,586.62,589.15,782737
2024-12-20,586.92,603.19,582.29,593.22,2364939
2024-12-23,591.73,618.85,590.48,617.28,687937
2024-12-24,616.87,623.06,613.035,619.58,252533
2024-12-26,613.56,625.31,613.56,619.83,320339
2024-12-27,616.62,621.9252,604.145,612.7,354794
2024-12-30,606.93,609.0727,593.8501,603.65,689191
2024-12-31,602.56,608.97,589.3,591.7,491995
2025-01-02,604.09,609.7,589.4,594.22,548184
2025-01-03,600.32,625.5,599.085,619.87,654552
2025-01-06,632.37,645.25,628.03,631.1,785898
2025-01-07,643.07,644.81,622.12,624.87,599180
2025-01-08,617.45,633.1399,610.3,620.96,346154
2025-01-10,611.46,614.525,582.06,591.23,1076983
2025-01-13,578.47,591.39,576.42,587.35,854163
2025-01-14,591.27,598.075,579.1701,589.86,472879
2025-01-15,607.59,611.38,601.48,602.41,570369
2025-01-16,614.17,614.505,596.01,596.66,495038
2025-01-17,606.53,628.69,605.82,625.82,1066243
2025-01-21,637.09,655,632.81,638.49,1257817
2025-01-22,655.13,699.33,652.045,689.42,1558132
2025-01-23,673.94,699.38,673.345,698.79,757790
2025-01-24,700,700,670,678.43,1063256
2025-01-27,652.45,656.575,597.72,600.79,2095759
2025-01-28,606.36,622.4,590.545,617.57,1015922
2025-01-29,615.64,619.99,607.42,618.76,436138
2025-01-30,624,641.745,622.43,636.78,593717
2025-01-31,640,657.18,632.11,637.37,753524
2025-02-03,615.27,644.28,615.26,628.78,774581
2025-02-04,628.34,657.88,627.8,656.29,982023
2025-02-05,652.005,664.99,647.87,653.87,883595
2025-02-06,650.53,666.38,639.06,660.9,1611173
2025-02-07,686.7,723.99,677,720.25,2551806
2025-02-10,717.1,720.25,699.27,705.36,1009266
2025-02-11,692.15,712.98,686.12,699.03,708312
2025-02-12,689.51,700.78,682.765,699.46,487402
2025-02-13,699.46,707.49,694.08,699.99,478239
2025-02-14,692.95,698.37,681.14,684.93,625297
2025-02-18,692.34,704.77,685.1,690.77,611815
